Index,What degree did you receive at GSAPP?,In what year did you graduate from GSAPP?,How many years of professional experience did you have before attending GSAPP?,Did you do any summer internships while you attended GSAPP?,How long after graduating from GSAPP did you start working?
243,MS.AAD,2012,Less than 1,None,Between 3 and 6 months
244,MS.UP,2013,Between 1 and 3,1,Between 1 and 3 months
245,Other,2009,None,1,Less than 1 month
246,Other,2011,Between 1 and 3,1,Between 1 and 3 months
247,M.Arch,2013,None,1,Between 3 and 6 months
248,MS.RED,2011,More than 3,None,Between 3 and 6 months
249,MS.AAD,2013,Less than 1,None,Between 3 and 6 months
250,MS.RED,2012,More than 3,None,Between 1 and 3 months
251,MS.RED,2012,More than 3,1,Between 3 and 6 months
252,M.Arch,2012,Between 1 and 3,2,Less than 1 month
253,M.Arch,2012,Between 1 and 3,2,Between 1 and 3 months
254,Other,2012,Between 1 and 3,2,Less than 1 month
255,M.Arch,2012,Between 1 and 3,None,Between 1 and 3 months
256,M.Arch,2012,None,2,Between 1 and 3 months
257,M.Arch,2012,More than 3,More than 2,Less than 1 month
258,M.Arch,2012,Less than 1,1,Between 3 and 6 months
259,M.Arch,2012,Less than 1,2,Between 3 and 6 months
260,MS.AAD,2012,Between 1 and 3,None,Between 3 and 6 months
261,MS.AAD,2012,More than 3,None,Between 1 and 3 months
262,MS.AAD,2012,Between 1 and 3,None,Between 3 and 6 months
263,MS.AAD,2012,Less than 1,None,Less than 1 month
264,MS.AAD,2012,Between 1 and 3,None,Between 3 and 6 months
265,M.Arch,2009,None,1,Less than 1 month
266,MS.AAD,2012,Between 1 and 3,None,Less than 1 month
267,MS.AAD,2012,Between 1 and 3,None,Between 1 and 3 months
268,MS.AAD,2012,Between 1 and 3,None,Between 1 and 3 months
269,M.Arch,2012,Less than 1,1,Between 1 and 3 months
270,MS.AAD,2012,More than 3,None,Between 6 months and 1 year
271,MS.AAD,2009,None,None,Between 6 months and 1 year
272,M.Arch,2012,Between 1 and 3,More than 2,Less than 1 month
273,MS.AAD,2012,Less than 1,None,Between 1 and 3 months
274,MS.AAD,2012,None,None,Between 1 and 3 months
275,MS.AUD,2013,Between 1 and 3,None,Between 1 and 3 months
276,M.Arch,2009,Between 1 and 3,1,Between 1 and 3 months
277,M.Arch,2009,Between 1 and 3,2,Less than 1 month
278,M.Arch,2009,Between 1 and 3,More than 2,Between 1 and 3 months
279,M.Arch,2012,None,None,Between 1 and 3 months
280,MS.RED,2009,More than 3,None,Less than 1 month
281,MS.RED,2011,Between 1 and 3,1,Between 6 months and 1 year
282,MS.AAD,2010,More than 3,None,Less than 1 month
283,MS.AAD,2010,More than 3,None,Between 1 and 3 months
284,MS.AUD,2010,More than 3,None,Between 3 and 6 months
285,Other,2013,Less than 1,1,Between 1 and 3 months
286,MS.RED,2012,More than 3,None,Between 1 and 3 months
287,Other,2013,More than 3,1,Less than 1 month
288,MS.AAD,2009,Between 1 and 3,None,Less than 1 month
289,Other,2012,None,None,Less than 1 month
290,MS.AUD,2011,More than 3,None,Less than 1 month
291,MS.AUD,2010,Between 1 and 3,None,Between 3 and 6 months
292,MS.RED,2012,More than 3,1,More than 1 year
293,MS.UP,2013,None,2,Between 3 and 6 months
294,MS.UP,2009,Between 1 and 3,1,Between 6 months and 1 year
295,MS.RED,2011,Between 1 and 3,1,Between 1 and 3 months
296,MS.UP,2013,Between 1 and 3,1,Less than 1 month
297,MS.RED,2011,More than 3,None,Less than 1 month
298,MS.RED,2012,Less than 1,1,Less than 1 month
299,MS.RED,2013,Between 1 and 3,1,Less than 1 month
300,M.Arch,2010,None,2,Between 3 and 6 months
